Postcode district,Monthly Rent Mean,,,,,,
BR1,1238,, ,,,,
BR2,1259,,, ,,,
BR3,1262,,,,,,
BR4,1113,,, ,,,
BR5,1092,,, ,,, 
BR6,1200,,, ,,, 
BR7,1261,,,,,,
BR8,1200,,,,,,
CM13,1100,,,,,,
CM14,1100,,, ,,,
CR0,1188,,, ,,,
CR2,1150,,, ,,,
CR3,1200,,, ,,,
CR4,1199,,, ,,,
CR44,1200,,, ,,,
CR5,1185,,, ,,, 
CR6,1200,,, ,,,
CR7,1151,,, ,,,
CR8,1155,,, ,,,
CR9,1200,,, ,,,
CR90,1200,,,,,,
DA1,1047,,,,,,
DA14,1097,,, ,,,
DA15,1181,,, ,,,
DA16,1139,,,,,,
DA17,1066,,,,,,
DA18,1050,,, ,,,
DA5,1161,,,,,,
DA6,1161,,, ,,,
DA7,1033,,, ,,,
DA8,1032,,, ,,,
E1,2155,,, ,,,
E10,1330,,, ,,, 
E11,1328,,, ,,,
E12,1262,,,,,,
E13,1313,,,,,,
E14,1911,,,,,,
E15,1466,,,,,,
E16,1544,,,,,,
E17,1349,,,,,,
E18,1324,,,,,,
E1W,2001,,,,,,
E2,1847,,,,,,
E20,1445,,,,,,
E3,1592,,,,,,
E4,1219,,,,,,
E5,1659,,,,,,
E6,1248,,,,,,
E7,1278,,,,,,
E8,1723,,,,,,
E9,1738,,,,,,
E98,1900,,,,,,
EC1A,3280,,,,,,
EC1M,2584,,,,,,
EC1N,2533,,,,,,
EC1P,2145,,,,,,
EC1R,2320,,,,,,
EC1V,2619,,,,,,
EC1Y,2742,,,,,,
EC2A,2858,,,,,,
EC2M,2383,,,,,,
EC2N,2383,,,,,,
EC2P,2145,,,,,,
EC2R,2328,,,,,,
EC2V,2328,,,,,,
EC2Y,2679,,,,,,
EC3A,2328,,,,,,
EC3M,2328,,,,,,
EC3N,2383,,,,,,
EC3P,2145,,,,,,
EC3R,2383,,,,,,
EC3V,2328,,,,,,
EC4A,2328,,,,,,
EC4M,2328,,,,,,
EC4N,2328,,,,,,
EC4P,2328,,,,,,
EC4R,2383,,,,,,
EC4V,2383,,,,,,
EC4Y,2383,,,,,,
EN1,1273,,,,,,
EN2,1315,,,,,,
EN3,1299,,,,,,
EN4,1249,,,,,,
EN5,1298,,,,,,
EN6,1320,,,,,,
EN7,1320,,,,,,
EN8,1320,,,,,,
EN9,1300,,,,,,
HA0,1370,,,,,,
HA1,1354,,,,,,
HA2,1256,,,,,,
HA3,1261,,,,,,
HA4,1266,,,,,,
HA5,1295,,,,,,
HA6,1317,,,,,,
HA7,1418,,,,,,
HA8,1333,,,,,,
HA9,1413,,,,,,
IG1,1226,,,,,,
IG11,1227,,,,,,
IG2,1260,,,,,,
IG3,1191,,,,,,
IG4,1224,,,,,,
IG5,1119,,,,,,
IG6,1188,,,,,,
IG7,1207,,,,,,
IG8,1341,,,,,,
IG9,1250,,,,,,
KT1,1401,,,,,,
KT17,1195,,,,,,
KT18,1350,,,,,,
KT19,1350,,,,,,
KT2,1432,,,,,,
KT22,1350,,,,,,
KT3,1279,,,,,,
KT4,1364,,,,,,
KT5,1289,,,,,,
KT6,1313,,,,,,
KT7,1350,,,,,,
KT8,1350,,,,,,
KT9,1137,,,,,,
N1,2133,,,,,,
N10,1601,,,,,,
N11,1420,,,,,,
N12,1393,,,,,,
N13,1356,,,,,,
N14,1353,,,,,,
N15,1376,,,,,,
N16,1631,,,,,,
N17,1402,,,,,,
N18,1290,,,,,,
N19,1665,,,,,,
N1C,2145,,,,,,
N1P,2058,,,,,,
N2,1533,,,,,,
N20,1453,,,,,,
N21,1341,,,,,,
N22,1415,,,,,,
N3,1388,,,,,,
N4,1638,,,,,,
N5,2034,,,,,,
N6,1863,,,,,,
N7,1742,,,,,,
N8,1603,,,,,,
N81,1568,,,,,,
N9,1300,,,,,,
NW1,2279,,,,,,
NW10,1555,,,,,,
NW11,1827,,,,,,
NW1W,2145,,,,,,
NW2,1600,,,,,,
NW26,1548,,,,,,
NW3,2273,,,,,,
NW4,1394,,,,,,
NW5,1945,,,,,,
NW6,1873,,,,,,
NW7,1418,,,,,,
NW8,2390,,,,,,
NW9,1354,,,,,,
RM1,1083,,,,,,
RM10,1114,,,,,,
RM11,1076,,,,,,
RM12,1113,,,,,,
RM13,1014,,,,,,
RM14,1189,,,,,,
RM15,1100,,,,,,
RM2,1146,,,,,,
RM3,1116,,,,,,
RM4,1100,,,,,,
